  1000000 20190823 00000000000 0.00 0.00
* 10019 47.99 5 0.01 239.95
* 10030 1599.99 6 0.59 9599.94
~ 1000001 20190901 00000000000 0.00 9839.89
* 10041 134.00 21 0.04 2814.00
* 10042 47.99 23 0.22 1103.77
~ 1000002 20190911 06662728594 0.00 3917.77
* 10021 4.99 35 0.01 174.65
* 10022 79.99 99 0.07 7919.01
* 10037 1.00 14 0.00 14.00
~ 1000003 20191001 06662728596 0.00 8107.66
* 10014 468.00 5 0.20 2340.00
* 10013 65.99 26 0.02 1715.74
~ 1000004 20191011 06662728596 7.28 4048.46
* 10027 799.99 2 0.22 1599.98
~ 1000005 20191101 00000000000 0.00 1599.98
* 10027 799.99 4 0.22 3199.96
~ 1000006 20191123 06662728594 5.90 3194.06
* 10020 79.99 8 0.02 639.92
~ 1000007 20191201 06662728594 0.00 639.92
* 10042 47.99 50 0.22 2399.50
~ 1000008 20191211 06662728594 0.00 2399.50
* 10012 19.99 5 0.01 99.95
* 10028 49.99 20 0.04 999.80
~ 1000009 20200101 00000000000 0.00 1099.75
* 10044 2799.99 3 1.28 8399.97
~ 1000010 20200111 00000000000 0.00 8399.97
* 10044 2799.99 5 1.28 13999.95
~ 1000011 20200201 06662728594 0.00 13999.95
